Stastic_use_course_num = ,1335,,,,,,,,,@
Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),@
CENG 4930,Chemical Engineering Thesis Research,6 Credit(s),(BIEN 3910 OR CENG 3950) AND (CENG 4980 OR UROP 2100),CENG 4920@ CENG 4940,,,,,,A final-year project course offers an opportunity to conduct individual chemical engineering research under the direct supervision of a faculty member@ which leads to a Bachelor#s thesis. Credit load may be spread over a year. May be graded PP. For students in Chemical Engineering@ Chemical and Environmental Engineering@ and Chemical and Biomolecular Engineering with approval from the department.,@
CENG 4940,Chemical Engineering Industrial Project,6 Credit(s),BIEN 3910 OR CENG 3950,CENG 4920@ CENG 4930,,,,,,This course is intended to provide final-year chemical engineering students with practical hands-on training in the form of a full-time or part-time internship or co-op program in an engineering company. Credit load may be spread over a year. May be graded PP. For students in Chemical Engineering@ Chemical and Environmental Engineering@ and Chemical and Biomolecular Engineering with approval from the department.,@
CENG 4950,Chem-E-Car,3 Credit(s),,,,,,CENG 4000I,,This course is a platform for entry-level engineer students to participate in Chem-E-car competition@ i.e. to design and construct a car powered by a chemical or biochemical energy source that will safely carry a specified load over a given distance and stop. The objective of this course is to develop the ability to control an electrochemical reaction@ and to obtain hands-on experience on a practical engineering project@ especially in chemical engineering field. Students will be given the opportunity to interact with each other@ to integrate the learning experience to design and build a device@ and chances to prepare for starting their future career in engineering. It is a student-led project@ designed to motivate students for engineers. Graded DI/PA/F. Enrollment in the project course require instructor#s approval.,@
CENG 4980,Investigation Project,3 Credit(s),,,,,,,,Students conduct in-depth experimental or computational investigations on selected topics in one of the departmental research areas. Students work under supervision and are encouraged to use their own initiative to complete an appropriate program of work within the time allocated. Enrollment is subject to approval by department and supervisor. Graded Distinction/Pass/Fail. May be repeated for credits. May be graded PP.,@
CHEM 1002,Introduction to Chemistry of Cosmetics,3 Credit(s),,,,,,,,This course concentrates on the basic scientific principles in cosmetic science. Various topics with emphasis on molecular approach related to cosmetic products# formulation and proper uses of cosmetic products will be covered. Major topics include definition of cosmetics@ make-up cosmetics@ skin-care cosmetics@ hair-care cosmetics@ vehicles of cosmetic products@ surfactants@ colorants@ alpha hydroxyl acids & beta hydroxyl acids@ anti-oxidants and sunscreens@ skin-whitening agents@ hydrating substances / moisturizers@ antiperspirants & deodorants and botanical ingredients.,@
CHEM 1004,Chemistry in Everyday Life,3 Credit(s),,Level 3 or above in HKDSE 1/2x Chemistry OR HKDSE 1x Chemistry@ a passing grade in AL/AS Chemistry@ CHEM 1010@ CHEM 1020@ CHEM 1030@ any CHEM courses at or above 2000-level,,,,,,This course is intended for students with very little to no chemistry background. The basic ideas and principles of chemistry will be explained through many examples of everyday life. The course will focus on developing a chemical understanding of the materials and processes that surround us in the world. Many relevant topics will be discussed such as the air@ air pollution@ global warming@ ozone depletion@ metals and their uses@ minerals and gems@ fire and fuels@ color and light@ food and drinks@ household chemical products@ polymers and drugs.,@
CHEM 1010,General Chemistry IA,3 Credit(s),Level 3 or above in HKDSE 1/2x Chemistry OR CHEM 1004,Level 3 or above in HKDSE 1x Chemistry@ CHEM 1008@ CHEM 1020,,,,,,This course is an introduction to fundamental principles of chemistry for students who have learnt the basic knowledge of chemistry in high school. Topics include atomic structure and periodicity@ chemical bonding and molecular structure@ basic properties of gases@ liquids and solids@ chemical kinetics@ chemical equilibrium@ and basic organic and biological molecules.,@
CHEM 1020,General Chemistry IB,3 Credit(s),Level 3 or above in HKDSE 1x Chemistry,CHEM 1010,,,,,,This course targets at students who have acquired more advanced knowledge in fundamental Chemistry in high school. Key topics include atomic structure and periodicity@ bonding theories@ chemical energy@ and properties of gases@ liquids and solids. Other topics such as chemical kinetics@ chemical equilibrium and organic molecules will be briefly reviewed.,@
CHEM 1030,General Chemistry II,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,This course is designed for students who have taken General Chemistry I and want to continue to expand their chemistry knowledge. It will cover topics related to stoichiometry and chemical reactions@ properties of aqueous solutions@ acids and bases@ thermodynamics and equilibrium@ electrochemistry@ general aspects in chemistry of the main-group elements@ and introduction to transition metal elements and coordination compounds.,@
CHEM 1050,Laboratory for General Chemistry I,1 Credit(s),Level 3 or above in HKDSE 1/2x OR level 3 or above in HKDSE 1x Chemistry OR CHEM 1004,,CHEM 1010 OR CHEM 1020,,,,,This course is the laboratory class designed for students who enrolled in CHEM 1010 or CHEM 1020. With laboratory experience acquired in this course@ students will be able to relate the physical and chemical principles and theories in practice. Experiments on topics such as chemical energetic and chemical equilibrium will be included. Graded P or F.,@
CHEM 1055,Laboratory for General Chemistry II,1 Credit(s),CHEM 1010 OR CHEM 1020,,CHEM 1030,,,,,This course is the laboratory class designed for students who enrolled in CHEM 1030. Students will perform experiments based on the theory they learned in courses. By conducting experiments independently@ students are able to experience the whole process@ from pre-lab and studying Material Safety Data Sheet (MSDS)@ to using suitable labwares@ experimental techniques and data treatment. Graded P or F.,@
CHEM 2110,Organic Chemistry I,3 Credit(s),CHEM 1030,CHEM 2111,,,,,,This is the first part of the organic chemistry course series designed for students taking a major/minor in chemistry/life science under the four-year degree. Topics covered include: structure and bonding; regio-@ geometric@ and stereoisomerism; polar and radical reactions of alkenes and alkynes; substitution and elimination reactions; synthesis and reactions of alcohols and epoxides.,@
